ano,regiao,vendas_biodiesel
2017,CENTRO OESTE,521645
2017,NORDESTE,811039
2017,NORTE,185089
2017,SUDESTE,1530357
2017,SUL,1025537
2018,CENTRO OESTE,783211
2018,NORDESTE,846813
2018,NORTE,439799
2018,SUDESTE,1992401
2018,SUL,1228435
2019,SUDESTE,2207932
2019,NORTE,475148
2019,SUL,1333895
2019,CENTRO OESTE,926054
2019,NORDESTE,926905
2020,CENTRO OESTE,1014767
2020,NORDESTE,977567
2020,NORTE,559484
2020,SUDESTE,2347349
2020,SUL,1501653
2021,SUL,1675950
2021,SUDESTE,2632556
2021,NORDESTE,714533
2021,CENTRO OESTE,1218034
2021,NORTE,564875
2022,SUDESTE,497869
2022,CENTRO OESTE,201950
2022,NORDESTE,201447
2022,NORTE,161890
2022,SUL,330545
