,Mês/Ano,Região Origem,Região Destino,Vendas de Biodiesel
0,01/2017,NORDESTE,NORDESTE,20803
1,01/2017,NORTE / CENTRO OESTE,CENTRO OESTE,47184
2,01/2017,NORTE / CENTRO OESTE,NORDESTE,27238
3,01/2017,NORTE / CENTRO OESTE,NORTE,7777
4,01/2017,NORTE / CENTRO OESTE,SUDESTE,23102
5,01/2017,NORTE / CENTRO OESTE,SUL,786
6,01/2017,SUDESTE,NORDESTE,6188
7,01/2017,SUDESTE,SUDESTE,17844
8,01/2017,SUL,SUDESTE,44269
9,01/2017,SUL,SUL,60014
10,02/2017,NORDESTE,NORDESTE,17853
11,02/2017,NORTE / CENTRO OESTE,CENTRO OESTE,36440
12,02/2017,NORTE / CENTRO OESTE,NORDESTE,29086
13,02/2017,NORTE / CENTRO OESTE,NORTE,7511
14,02/2017,NORTE / CENTRO OESTE,SUDESTE,33163
15,02/2017,NORTE / CENTRO OESTE,SUL,1281
16,02/2017,SUDESTE,NORDESTE,5629
17,02/2017,SUDESTE,SUDESTE,17097
18,02/2017,SUDESTE,SUL,329
19,02/2017,SUL,SUDESTE,40600
20,02/2017,SUL,SUL,63074
21,03/2017,NORDESTE,NORDESTE,21992
22,03/2017,NORTE / CENTRO OESTE,CENTRO OESTE,47942
23,03/2017,NORTE / CENTRO OESTE,NORDESTE,30651
24,03/2017,NORTE / CENTRO OESTE,NORTE,16628
25,03/2017,NORTE / CENTRO OESTE,SUDESTE,44317
26,03/2017,NORTE / CENTRO OESTE,SUL,1727
27,03/2017,SUDESTE,NORDESTE,7141
28,03/2017,SUDESTE,SUDESTE,12194
29,03/2017,SUDESTE,SUL,41
30,03/2017,SUL,SUDESTE,62436
31,03/2017,SUL,SUL,91635
32,04/2017,NORDESTE,NORDESTE,21306
33,04/2017,NORTE / CENTRO OESTE,CENTRO OESTE,38273
34,04/2017,NORTE / CENTRO OESTE,NORDESTE,36508
35,04/2017,NORTE / CENTRO OESTE,NORTE,10153
36,04/2017,NORTE / CENTRO OESTE,SUDESTE,47724
37,04/2017,NORTE / CENTRO OESTE,SUL,1016
38,04/2017,SUDESTE,NORDESTE,6162
39,04/2017,SUDESTE,SUDESTE,11896
40,04/2017,SUL,NORDESTE,43
41,04/2017,SUL,SUDESTE,59870
42,04/2017,SUL,SUL,82124
43,05/2017,NORDESTE,NORDESTE,21451
44,05/2017,NORTE / CENTRO OESTE,CENTRO OESTE,44413
45,05/2017,NORTE / CENTRO OESTE,NORDESTE,44214
46,05/2017,NORTE / CENTRO OESTE,NORTE,13278
47,05/2017,NORTE / CENTRO OESTE,SUDESTE,47384
48,05/2017,NORTE / CENTRO OESTE,SUL,1726
49,05/2017,SUDESTE,NORDESTE,7296
50,05/2017,SUDESTE,SUDESTE,17478
51,05/2017,SUL,SUDESTE,71251
52,05/2017,SUL,SUL,85141
53,06/2017,NORDESTE,NORDESTE,20966
54,06/2017,NORTE / CENTRO OESTE,CENTRO OESTE,47538
55,06/2017,NORTE / CENTRO OESTE,NORDESTE,39063
56,06/2017,NORTE / CENTRO OESTE,NORTE,16646
57,06/2017,NORTE / CENTRO OESTE,SUDESTE,43912
58,06/2017,NORTE / CENTRO OESTE,SUL,3480
59,06/2017,SUDESTE,CENTRO OESTE,285
60,06/2017,SUDESTE,NORDESTE,8140
61,06/2017,SUDESTE,SUDESTE,17726
62,06/2017,SUL,NORDESTE,34
63,06/2017,SUL,SUDESTE,66446
64,06/2017,SUL,SUL,82009
65,07/2017,NORDESTE,NORDESTE,25110
66,07/2017,NORDESTE,SUDESTE,42
